<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MAPN-O-980312,20190227,70.00,70.00,70.00,70.00,21000000,300,3,D,65.00,70.00
MAPN-O-980312,20190226,65.00,65.00,65.00,65.00,6500000,100,1,D,82.00,65.00
MAPN-O-980312,20190220,82.00,82.00,82.00,82.00,8200000,100,1,D,82.00,82.00
MAPN-O-980312,20190217,82.00,82.00,82.00,82.00,8200000,100,1,D,100.00,82.00
MAPN-O-980312,20190210,100.00,100.00,100.00,100.00,50000000,500,5,D,111.00,100.00
MAPN-O-980312,20190204,111.00,111.00,111.00,111.00,16650000,150,2,D,1.00,111.00
