<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-980319,20190227,263.00,263.00,263.00,263.00,263000,1,1,D,287.00,263.00
IKCO-O-980319,20190223,287.00,287.00,287.00,287.00,114800000,400,5,D,343.00,287.00
IKCO-O-980319,20190206,337.00,350.00,337.00,343.00,68700000,200,11,D,383.00,350.00
IKCO-O-980319,20190204,383.00,384.00,383.00,383.00,76700000,200,2,D,383.00,384.00
IKCO-O-980319,20190203,400.00,400.00,359.00,383.00,114900000,300,3,D,464.00,390.00
IKCO-O-980319,20190202,464.00,464.00,464.00,464.00,46400000,100,1,D,1.00,464.00
