<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
GOLG-O-980229,20190227,111.00,111.00,111.00,111.00,33300000,300,3,D,93.00,111.00
GOLG-O-980229,20190226,93.00,93.00,93.00,93.00,18600000,200,2,D,125.00,93.00
GOLG-O-980229,20190225,123.00,128.00,123.00,125.00,37400000,300,3,D,83.00,128.00
GOLG-O-980229,20190224,83.00,83.00,83.00,83.00,5810000,70,1,D,70.00,83.00
GOLG-O-980229,20190223,69.00,71.00,69.00,70.00,27900000,400,4,D,20.00,71.00
GOLG-O-980229,20190220,20.00,20.00,20.00,20.00,6000000,300,3,D,13.00,20.00
GOLG-O-980229,20190219,10.00,15.00,10.00,13.00,5400000,400,4,D,15.00,15.00
GOLG-O-980229,20190218,15.00,15.00,15.00,15.00,1500000,100,1,D,18.00,15.00
GOLG-O-980229,20190217,18.00,18.00,18.00,18.00,12600000,700,7,D,1.00,18.00
