<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
BMLT-O-980222,20190227,50.00,70.00,50.00,56.00,62000000,1100,11,D,38.00,70.00
BMLT-O-980222,20190226,37.00,40.00,37.00,38.00,75400000,2000,42,D,31.00,40.00
BMLT-O-980222,20190225,35.00,100.00,20.00,31.00,3250000,105,4,D,43.00,100.00
BMLT-O-980222,20190224,33.00,50.00,33.00,43.00,81200000,1900,21,D,33.00,50.00
BMLT-O-980222,20190223,32.00,35.00,32.00,33.00,10050000,300,4,D,30.00,35.00
BMLT-O-980222,20190220,20.00,35.00,20.00,30.00,12150000,400,6,D,50.00,35.00
BMLT-O-980222,20190219,50.00,50.00,50.00,50.00,5000000,100,1,D,50.00,50.00
BMLT-O-980222,20190218,50.00,50.00,50.00,50.00,5500000,110,2,D,40.00,50.00
BMLT-O-980222,20190217,40.00,40.00,40.00,40.00,2040000,51,2,D,40.00,40.00
BMLT-O-980222,20190216,40.00,40.00,40.00,40.00,4000000,100,1,D,50.00,40.00
BMLT-O-980222,20190213,50.00,50.00,50.00,50.00,10000000,200,2,D,150.00,50.00
BMLT-O-980222,20190212,150.00,150.00,150.00,150.00,7500000,50,1,D,70.00,150.00
BMLT-O-980222,20190210,70.00,70.00,70.00,70.00,7000000,100,1,D,70.00,70.00
BMLT-O-980222,20190206,60.00,90.00,60.00,70.00,28000000,400,4,D,77.00,70.00
BMLT-O-980222,20190205,77.00,77.00,77.00,77.00,15400000,200,2,D,77.00,77.00
BMLT-O-980222,20190204,70.00,80.00,70.00,77.00,33030000,429,5,D,54.00,70.00
BMLT-O-980222,20190203,111.00,111.00,40.00,54.00,40776000,750,10,D,101.00,50.00
BMLT-O-980222,20190202,101.00,101.00,101.00,101.00,10100000,100,1,D,139.00,101.00
BMLT-O-980222,20190130,110.00,198.00,110.00,139.00,55800000,400,4,D,117.00,198.00
BMLT-O-980222,20190128,104.00,130.00,104.00,117.00,23400000,200,3,D,149.00,130.00
BMLT-O-980222,20190127,168.00,168.00,146.00,149.00,32822000,220,4,D,84.00,160.00
BMLT-O-980222,20190126,50.00,85.00,50.00,84.00,16850000,201,3,D,47.00,85.00
BMLT-O-980222,20190123,47.00,48.00,47.00,47.00,70900000,1500,19,D,52.00,48.00
BMLT-O-980222,20190122,47.00,57.00,47.00,52.00,10400000,200,3,D,65.00,57.00
BMLT-O-980222,20190120,64.00,78.00,64.00,65.00,135800000,2100,22,D,1.00,78.00
